Attrition,Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,RelationshipSatisfaction,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,Educational_Levels_Bachelors D.,Educational_Levels_College D.,Educational_Levels_Masters D.,Educational_Levels_Phd D.,Educational_Levels_Without College D.
No,29,2,3,4,3,2,3,4649,1,1,3,4,2,4,3,0,2,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
No,42,2,1,3,3,1,3,2696,0,3,3,4,3,3,2,1,0,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
No,32,2,3,3,3,1,2,2370,1,3,3,8,3,8,0,0,7,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
No,48,29,1,1,3,3,3,12504,3,2,4,15,1,0,0,0,0,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
No,37,6,3,3,4,2,1,5974,4,1,3,13,3,7,7,6,7,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False
No,30,25,2,4,3,2,3,4736,7,2,3,4,4,2,2,2,2,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False
No,26,1,3,3,3,2,3,5296,1,2,3,8,3,8,7,7,7,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
No,42,2,4,1,2,2,4,6781,3,2,4,14,3,1,0,0,0,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
Yes,21,1,1,1,2,1,2,2174,1,3,3,3,3,3,2,1,2,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
No,36,1,5,4,3,2,4,6653,4,2,3,7,3,1,0,0,0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
No,36,3,4,1,2,3,4,9699,4,1,3,16,3,13,9,1,12,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False
No,57,1,4,4,3,2,3,6755,2,3,3,15,3,3,2,1,2,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
No,40,10,4,4,4,1,3,2213,3,3,3,10,3,7,7,1,7,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
No,21,9,2,1,3,1,4,2610,1,3,4,3,2,3,2,2,2,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False
Yes,33,5,3,4,3,1,3,2851,1,2,3,1,3,1,0,0,0,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False
No,37,10,3,3,3,1,1,3452,6,2,4,17,3,5,4,0,3,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
No,46,7,4,3,3,2,3,5258,2,3,3,7,4,1,0,0,0,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
Yes,41,4,3,1,3,2,2,9355,1,3,3,8,3,8,7,7,7,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False
No,50,10,3,4,2,3,4,10496,6,4,3,20,3,4,3,1,3,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
Yes,40,22,2,3,2,2,3,6380,2,1,3,8,3,6,4,1,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False
No,31,9,4,3,2,1,2,2657,0,4,3,3,3,2,2,2,2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
Yes,21,12,3,3,4,1,2,2716,1,4,3,1,3,1,0,0,0,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False
No,29,23,3,4,3,1,4,2201,9,4,3,6,3,3,2,1,2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False
No,35,9,4,3,2,2,2,6540,9,3,3,10,3,1,1,0,0,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
No,27,1,2,4,3,1,2,3816,1,2,3,5,3,5,2,0,4,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
No,28,9,4,2,3,2,4,5253,1,4,3,7,3,7,5,0,7,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
No,49,7,3,2,2,3,3,10965,8,3,4,26,3,5,2,0,0,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
No,51,14,2,3,3,2,4,4936,4,3,3,18,2,7,7,0,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
No,36,2,3,4,3,1,3,2543,4,2,3,6,3,2,2,2,2,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
Yes,34,19,3,1,4,2,4,5304,8,2,3,9,2,5,2,0,4,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False
No,55,2,3,3,3,4,4,16659,2,3,3,30,3,5,4,1,2,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
No,24,10,4,4,3,2,3,4260,1,4,3,5,4,5,2,0,3,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
No,30,2,1,3,3,1,2,2476,1,1,3,1,3,1,0,0,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True
Yes,26,3,1,3,3,1,1,3102,0,3,4,7,3,6,4,0,4,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True
No,22,11,3,1,3,1,2,2244,1,4,3,2,3,2,1,1,2,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
No,36,2,2,2,2,3,3,7596,1,2,3,10,3,10,9,9,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
Yes,30,4,3,3,3,1,4,2285,9,3,4,3,3,1,0,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False
No,37,14,3,4,3,1,1,3034,1,3,3,18,2,18,7,12,17,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
No,40,2,2,4,3,2,2,5715,7,3,3,8,3,5,4,1,3,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False
No,42,1,4,2,3,1,1,2576,3,2,3,8,3,5,2,1,2,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
No,37,10,4,3,3,2,2,4197,2,4,3,18,2,1,0,0,1,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
No,43,12,3,1,2,4,2,14336,1,3,3,25,3,25,10,3,9,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False
No,40,2,3,2,2,2,3,3448,6,2,4,20,3,1,0,0,0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
No,54,5,2,1,3,5,1,19406,4,3,3,24,2,4,2,1,2,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False
No,34,4,4,3,3,2,3,6538,9,1,3,6,3,3,2,1,2,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False
No,31,7,2,2,3,2,1,4306,1,2,3,13,1,13,10,3,12,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False
No,43,21,3,4,3,1,4,2258,7,1,4,8,3,3,2,1,2,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
No,43,8,4,3,3,2,3,4522,4,4,3,8,3,5,2,0,2,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
No,25,4,2,2,2,2,4,4487,1,2,3,5,3,5,4,1,3,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False
No,37,25,5,2,3,2,3,4449,3,1,3,15,3,13,11,10,7,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
No,31,1,2,4,2,1,1,2218,1,3,3,4,3,4,2,3,2,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
No,39,1,1,2,3,5,3,19197,1,3,3,21,3,21,8,1,6,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
No,56,6,3,3,4,4,1,13212,9,4,3,36,2,7,7,7,7,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
No,30,12,3,2,3,2,3,6577,0,2,3,6,3,5,4,4,4,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False
No,41,1,3,2,4,3,1,8392,1,3,3,10,3,10,7,0,7,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
No,28,17,2,3,3,2,1,4558,1,4,3,10,3,10,0,1,8,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
Yes,25,3,3,1,3,1,1,4031,5,3,3,6,3,2,2,0,2,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
No,52,3,3,4,2,3,3,7969,2,3,3,28,3,5,4,0,4,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False
No,45,10,2,1,3,1,4,2654,3,4,4,8,2,2,2,0,2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False
No,52,4,2,4,3,4,4,16555,2,4,3,31,1,5,2,1,4,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
No,42,29,2,1,3,2,3,4556,2,2,3,19,3,5,4,0,2,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
No,30,2,3,3,1,2,4,6091,2,3,4,11,3,5,4,0,2,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
No,60,7,3,1,3,5,1,19566,5,4,3,33,1,29,8,11,10,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
No,46,18,3,3,3,2,3,4810,2,3,3,19,2,10,7,0,8,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False
No,42,28,4,4,2,2,4,4523,0,4,3,7,4,6,5,0,4,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
Yes,24,1,1,1,3,1,2,3202,1,2,3,6,3,5,3,1,4,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
Yes,34,6,2,4,1,1,3,2351,0,4,3,3,2,2,2,1,0,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False
No,38,2,2,4,3,1,4,1702,1,3,4,1,3,1,0,0,0,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
No,40,2,4,3,3,5,3,18041,0,4,3,21,3,20,15,1,12,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
No,26,23,3,1,3,1,4,2886,1,2,4,3,1,3,2,0,2,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False
No,30,3,3,3,3,1,4,2097,4,3,3,9,1,5,3,1,4,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
No,29,3,4,2,2,3,3,11935,1,3,3,10,3,10,2,0,7,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False
Yes,29,25,5,3,2,1,2,2546,5,2,3,6,4,2,2,1,1,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
Yes,19,2,2,1,2,1,4,2564,1,3,3,1,4,1,0,0,0,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
No,30,22,4,3,3,3,1,8412,0,3,3,10,3,9,8,7,8,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False
No,57,29,3,1,2,4,4,14118,3,3,3,32,2,1,0,0,0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
No,50,29,4,2,2,4,3,17046,0,2,3,28,3,27,10,15,7,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
No,30,2,3,3,3,1,4,2564,0,3,3,12,2,11,7,6,7,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
No,60,28,3,3,2,3,1,10266,4,4,3,22,4,18,13,13,11,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
No,47,2,2,1,3,2,4,5070,5,3,3,20,3,5,0,0,4,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
No,46,2,3,1,3,4,3,17861,6,3,3,26,1,3,2,0,1,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False
No,35,22,3,4,1,1,3,4230,0,3,3,6,3,5,4,4,3,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
No,54,8,4,3,3,2,3,3780,7,3,3,19,3,1,0,0,0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
No,34,2,4,4,2,1,3,2768,3,3,3,14,3,7,3,5,7,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
No,46,10,3,3,2,3,4,9071,2,3,3,15,3,3,2,1,2,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False
No,31,9,1,3,3,3,2,10648,1,4,4,13,4,13,8,0,8,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True
Yes,33,15,1,2,3,3,3,13610,7,4,3,15,4,7,6,7,7,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
Yes,33,10,1,1,1,1,4,3408,7,1,3,8,3,4,3,1,3,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
No,30,7,1,4,3,1,2,2983,0,1,3,4,3,3,2,1,2,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True
No,35,16,3,4,3,3,3,7632,4,3,3,10,3,8,7,0,0,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Yes,31,20,3,1,3,3,3,9824,3,1,3,12,3,1,0,0,0,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
Yes,34,23,3,2,3,3,1,9950,9,3,3,11,3,3,2,0,2,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
No,42,5,2,2,3,1,3,2093,4,4,3,8,3,2,2,2,0,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
No,36,10,4,2,3,3,4,9980,1,4,3,10,2,10,3,9,7,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
Yes,22,4,1,3,2,1,3,3894,5,3,3,4,3,2,2,1,2,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True
No,48,2,5,2,3,2,4,4051,2,1,3,14,3,9,7,6,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
No,55,18,5,1,3,4,2,16835,3,4,4,37,3,10,9,7,7,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
No,41,10,2,4,3,2,4,6230,7,4,3,16,3,14,3,1,10,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False
No,35,1,3,2,3,2,3,4717,9,3,3,15,3,11,9,6,9,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
No,40,6,3,2,3,4,3,13237,7,3,3,22,3,20,6,5,13,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
No,39,8,1,3,3,1,3,3755,1,1,3,8,3,8,3,0,7,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
No,31,2,1,2,3,2,4,6582,4,3,3,10,4,6,5,0,5,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True
No,42,24,3,4,3,3,1,7406,1,4,4,10,2,10,9,5,8,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False
No,45,2,3,4,3,2,2,4805,0,2,3,9,4,8,7,3,7,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
Yes,26,17,4,2,3,1,3,2741,0,2,3,8,2,7,7,1,0,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
No,29,19,3,4,3,2,4,4262,4,2,3,8,4,3,2,1,2,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False
No,33,1,5,1,4,4,3,16184,4,3,3,10,3,6,1,0,5,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False
No,31,7,3,3,2,3,4,11557,9,3,4,10,2,5,4,0,1,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
Yes,18,5,3,2,3,1,2,1878,1,4,3,0,3,0,0,0,0,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False
No,40,28,3,3,1,3,1,10932,3,3,3,20,3,1,0,0,1,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False
No,41,2,4,1,2,2,3,6811,2,1,3,10,3,8,7,0,7,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
No,26,29,2,1,3,2,3,4306,5,1,3,8,3,0,0,0,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False
No,35,1,3,1,3,2,3,4859,1,4,3,5,3,5,4,0,3,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False
No,34,21,4,4,4,2,4,5337,1,4,3,10,3,10,7,5,7,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
Yes,26,24,3,3,1,1,4,2340,1,2,3,1,1,1,0,0,0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
No,37,1,3,2,3,3,4,7491,4,4,3,12,4,6,5,1,2,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
No,46,18,1,1,3,3,3,10527,5,4,3,28,2,2,2,1,2,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
No,41,2,5,2,3,4,1,16595,7,2,3,22,3,18,16,11,8,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
No,37,9,4,1,3,3,2,8834,1,4,3,9,3,9,5,7,7,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
No,52,6,2,4,3,2,1,5577,3,2,3,18,3,10,9,6,9,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
Yes,32,11,4,4,4,2,3,4707,8,4,3,6,3,4,2,1,2,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False
No,24,24,3,4,3,1,4,2400,0,3,3,3,3,2,2,2,1,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False
No,38,10,3,3,3,2,3,9824,3,3,3,18,3,1,0,0,0,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
No,37,1,4,2,3,2,2,6447,6,2,3,8,2,6,5,4,3,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
No,49,18,4,4,2,5,3,19502,1,3,3,31,3,31,9,0,9,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
No,24,23,3,2,4,1,4,2725,1,2,3,6,3,6,5,1,4,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False
No,26,28,2,1,3,2,2,6272,1,4,4,6,4,5,3,1,4,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
No,24,17,2,4,2,1,2,2127,1,4,4,1,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
No,50,3,3,1,3,5,2,18200,1,3,3,32,3,32,5,10,7,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
No,25,13,1,2,3,1,3,2096,1,3,3,7,3,7,4,0,6,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True
Yes,24,7,3,1,3,1,3,2886,1,4,3,6,3,6,3,1,2,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Yes,30,12,4,2,2,1,1,2033,1,3,3,1,4,1,0,0,0,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False
No,34,1,2,2,2,1,4,3622,1,4,3,6,3,6,5,1,3,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False
Yes,31,13,4,2,3,2,1,4233,2,3,3,9,1,3,1,1,2,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
No,35,25,2,1,2,2,4,3681,4,4,3,9,3,3,2,0,2,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
No,31,6,4,1,4,2,4,5460,4,4,4,13,4,7,7,5,7,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
No,27,6,4,1,2,1,3,2187,0,3,3,6,2,5,3,0,3,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
No,37,2,3,4,3,2,3,9602,4,3,3,17,2,3,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False
No,20,1,3,4,2,1,2,2836,1,4,3,1,4,1,0,0,0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False
No,42,2,4,3,3,2,4,4089,1,2,3,10,3,10,2,2,2,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
No,43,6,4,2,2,4,4,16627,4,3,3,21,2,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
No,38,1,1,3,3,1,1,2619,3,4,3,8,2,0,0,0,0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True
No,43,9,5,4,3,2,3,5679,3,2,3,10,3,8,7,4,7,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
No,48,1,4,4,2,4,1,15402,7,1,3,21,1,3,2,0,2,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
No,44,1,4,1,2,2,3,5985,4,2,3,10,4,2,2,0,2,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
No,34,14,3,3,3,1,3,2579,1,4,3,8,3,8,2,0,6,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False
Yes,27,2,1,3,3,1,1,3041,0,2,3,5,3,4,3,0,2,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True
No,21,22,1,3,3,1,3,3447,1,3,3,3,3,3,2,1,2,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True
